Parameter Category, Parameter,Location, Depth, Timestamp,Value,Unit, Data Source
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/4/14,-4.7, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/5/14,-1.767, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/6/14,-2.583, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/7/14,-2.042, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/8/14,2.658, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/9/14,4.712, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/10/14,6.017, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/11/14,6.104, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/12/14,3.937, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/13/14,-0.95, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/14/14,-5.721, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/15/14,-1.204, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/16/14,1.579, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/17/14,1.337, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/18/14,5.604, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/19/14,4.387, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/20/14,5.017, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/21/14,5.312, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/22/14,5.787, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/23/14,3.112, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/24/14,1.104, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/25/14,5.429, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/26/14,3.087, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/27/14,-2.233, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/28/14,-5.129, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/29/14,-4.071, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,4/30/14,-2.637, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/1/14,-0.23, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/2/14,5.142, degreeCelsius, EastRiver
